data,stato,codice_regione,denominazione_regione,codice_provincia,denominazione_provincia,sigla_provincia,lat,long,totale_casi,note
2020-04-20T17:00:00 ITA 03 Lombardia 988 In_fase_di_definizioneaggiornamento    1389 
2020-04-21T17:00:00 ITA 03 Lombardia 988 In_fase_di_definizioneaggiornamento    1402 
2020-04-22T17:00:00 ITA 03 Lombardia 988 In_fase_di_definizioneaggiornamento    1441 
2020-04-23T17:00:00 ITA 03 Lombardia 988 In_fase_di_definizioneaggiornamento    1489 
2020-04-24T17:00:00 ITA 03 Lombardia 988 In_fase_di_definizioneaggiornamento    1483 
2020-04-25T17:00:00 ITA 03 Lombardia 988 In_fase_di_definizioneaggiornamento    1494 
2020-04-26T17:00:00 ITA 03 Lombardia 988 In_fase_di_definizioneaggiornamento    1522 
2020-04-27T17:00:00 ITA 03 Lombardia 988 In_fase_di_definizioneaggiornamento    1562 
2020-04-28T17:00:00 ITA 03 Lombardia 988 In_fase_di_definizioneaggiornamento    1577 
2020-04-29T17:00:00 ITA 03 Lombardia 988 In_fase_di_definizioneaggiornamento    1590 
2020-04-30T17:00:00 ITA 03 Lombardia 988 In_fase_di_definizioneaggiornamento    1625 
2020-05-01T17:00:00 ITA 03 Lombardia 988 In_fase_di_definizioneaggiornamento    1653 
2020-05-02T17:00:00 ITA 03 Lombardia 988 In_fase_di_definizioneaggiornamento    1680 
2020-05-03T17:00:00 ITA 03 Lombardia 988 In_fase_di_definizioneaggiornamento    1693 
2020-05-04T17:00:00 ITA 03 Lombardia 988 In_fase_di_definizioneaggiornamento    1707 
2020-05-05T17:00:00 ITA 03 Lombardia 988 In_fase_di_definizioneaggiornamento    1749 
2020-05-06T17:00:00 ITA 03 Lombardia 988 In_fase_di_definizioneaggiornamento    1737 
2020-05-07T17:00:00 ITA 03 Lombardia 988 In_fase_di_definizioneaggiornamento    1756 
2020-05-08T17:00:00 ITA 03 Lombardia 988 In_fase_di_definizioneaggiornamento    1759 
2020-05-09T17:00:00 ITA 03 Lombardia 988 In_fase_di_definizioneaggiornamento    1780 
2020-05-10T17:00:00 ITA 03 Lombardia 988 In_fase_di_definizioneaggiornamento    1787 
2020-05-11T17:00:00 ITA 03 Lombardia 988 In_fase_di_definizioneaggiornamento    1793 
2020-05-12T17:00:00 ITA 03 Lombardia 988 In_fase_di_definizioneaggiornamento    1804 
2020-05-13T17:00:00 ITA 03 Lombardia 988 In_fase_di_definizioneaggiornamento    1815 
2020-05-14T17:00:00 ITA 03 Lombardia 988 In_fase_di_definizioneaggiornamento    1817 
2020-05-15T17:00:00 ITA 03 Lombardia 988 In_fase_di_definizioneaggiornamento    1825 
2020-05-16T17:00:00 ITA 03 Lombardia 988 In_fase_di_definizioneaggiornamento    1846 
2020-05-17T17:00:00 ITA 03 Lombardia 988 In_fase_di_definizioneaggiornamento    1852 
2020-05-18T17:00:00 ITA 03 Lombardia 988 In_fase_di_definizioneaggiornamento    1849 
2020-05-19T17:00:00 ITA 03 Lombardia 988 In_fase_di_definizioneaggiornamento    1856 
2020-05-20T17:00:00 ITA 03 Lombardia 988 In_fase_di_definizioneaggiornamento    1874 
2020-05-21T17:00:00 ITA 03 Lombardia 988 In_fase_di_definizioneaggiornamento    1863 
2020-05-22T17:00:00 ITA 03 Lombardia 988 In_fase_di_definizioneaggiornamento    1871 
2020-05-23T17:00:00 ITA 03 Lombardia 988 In_fase_di_definizioneaggiornamento    1888 
2020-05-24T17:00:00 ITA 03 Lombardia 988 In_fase_di_definizioneaggiornamento    1894 
