data,stato,codice_regione,denominazione_regione,codice_provincia,denominazione_provincia,sigla_provincia,lat,long,totale_casi,note
2020-06-25T17:00:00 ITA 12 Lazio 886 Fuori_Regione__Provincia_Autonoma    76 
2020-06-26T17:00:00 ITA 12 Lazio 886 Fuori_Regione__Provincia_Autonoma    76 
2020-06-27T17:00:00 ITA 12 Lazio 886 Fuori_Regione__Provincia_Autonoma    76 
2020-06-28T17:00:00 ITA 12 Lazio 886 Fuori_Regione__Provincia_Autonoma    76 
2020-06-29T17:00:00 ITA 12 Lazio 886 Fuori_Regione__Provincia_Autonoma    76 
2020-06-30T17:00:00 ITA 12 Lazio 886 Fuori_Regione__Provincia_Autonoma    76 
2020-07-01T17:00:00 ITA 12 Lazio 886 Fuori_Regione__Provincia_Autonoma    76 
2020-07-02T17:00:00 ITA 12 Lazio 886 Fuori_Regione__Provincia_Autonoma    78 
2020-07-03T17:00:00 ITA 12 Lazio 886 Fuori_Regione__Provincia_Autonoma    78 
2020-07-04T17:00:00 ITA 12 Lazio 886 Fuori_Regione__Provincia_Autonoma    77 
2020-07-05T17:00:00 ITA 12 Lazio 886 Fuori_Regione__Provincia_Autonoma    77 
2020-07-06T17:00:00 ITA 12 Lazio 886 Fuori_Regione__Provincia_Autonoma    77 
2020-07-07T17:00:00 ITA 12 Lazio 886 Fuori_Regione__Provincia_Autonoma    77 
2020-07-08T17:00:00 ITA 12 Lazio 886 Fuori_Regione__Provincia_Autonoma    77 
2020-07-09T17:00:00 ITA 12 Lazio 886 Fuori_Regione__Provincia_Autonoma    77 
2020-07-10T17:00:00 ITA 12 Lazio 886 Fuori_Regione__Provincia_Autonoma    77 
2020-07-11T17:00:00 ITA 12 Lazio 886 Fuori_Regione__Provincia_Autonoma    78 
2020-07-12T17:00:00 ITA 12 Lazio 886 Fuori_Regione__Provincia_Autonoma    78 
2020-07-13T17:00:00 ITA 12 Lazio 886 Fuori_Regione__Provincia_Autonoma    79 
2020-07-14T17:00:00 ITA 12 Lazio 886 Fuori_Regione__Provincia_Autonoma    79 
2020-07-15T17:00:00 ITA 12 Lazio 886 Fuori_Regione__Provincia_Autonoma    79 
2020-07-16T17:00:00 ITA 12 Lazio 886 Fuori_Regione__Provincia_Autonoma    79 
2020-07-17T17:00:00 ITA 12 Lazio 886 Fuori_Regione__Provincia_Autonoma    79 
2020-07-18T17:00:00 ITA 12 Lazio 886 Fuori_Regione__Provincia_Autonoma    79 
2020-07-19T17:00:00 ITA 12 Lazio 886 Fuori_Regione__Provincia_Autonoma    79 
2020-07-20T17:00:00 ITA 12 Lazio 886 Fuori_Regione__Provincia_Autonoma    79 
2020-07-21T17:00:00 ITA 12 Lazio 886 Fuori_Regione__Provincia_Autonoma    79 
2020-07-22T17:00:00 ITA 12 Lazio 886 Fuori_Regione__Provincia_Autonoma    79 
2020-07-23T17:00:00 ITA 12 Lazio 886 Fuori_Regione__Provincia_Autonoma    79 
2020-07-24T17:00:00 ITA 12 Lazio 886 Fuori_Regione__Provincia_Autonoma    80 
2020-07-25T17:00:00 ITA 12 Lazio 886 Fuori_Regione__Provincia_Autonoma    80 
2020-07-26T17:00:00 ITA 12 Lazio 886 Fuori_Regione__Provincia_Autonoma    80 
2020-07-27T17:00:00 ITA 12 Lazio 886 Fuori_Regione__Provincia_Autonoma    80 
2020-07-28T17:00:00 ITA 12 Lazio 886 Fuori_Regione__Provincia_Autonoma    80 
2020-07-29T17:00:00 ITA 12 Lazio 886 Fuori_Regione__Provincia_Autonoma    80 
2020-07-30T17:00:00 ITA 12 Lazio 886 Fuori_Regione__Provincia_Autonoma    80 
2020-07-31T17:00:00 ITA 12 Lazio 886 Fuori_Regione__Provincia_Autonoma    80 
2020-08-01T17:00:00 ITA 12 Lazio 886 Fuori_Regione__Provincia_Autonoma    81 
2020-08-02T17:00:00 ITA 12 Lazio 886 Fuori_Regione__Provincia_Autonoma    81 
2020-08-03T17:00:00 ITA 12 Lazio 886 Fuori_Regione__Provincia_Autonoma    81 
2020-08-04T17:00:00 ITA 12 Lazio 886 Fuori_Regione__Provincia_Autonoma    82 
2020-08-05T17:00:00 ITA 12 Lazio 886 Fuori_Regione__Provincia_Autonoma    82 
2020-08-06T17:00:00 ITA 12 Lazio 886 Fuori_Regione__Provincia_Autonoma    86 
2020-08-07T17:00:00 ITA 12 Lazio 886 Fuori_Regione__Provincia_Autonoma    86 
2020-08-08T17:00:00 ITA 12 Lazio 886 Fuori_Regione__Provincia_Autonoma    86 
2020-08-09T17:00:00 ITA 12 Lazio 886 Fuori_Regione__Provincia_Autonoma    86 
2020-08-10T17:00:00 ITA 12 Lazio 886 Fuori_Regione__Provincia_Autonoma    86 
2020-08-11T17:00:00 ITA 12 Lazio 886 Fuori_Regione__Provincia_Autonoma    86 
2020-08-12T17:00:00 ITA 12 Lazio 886 Fuori_Regione__Provincia_Autonoma    87 
2020-08-13T17:00:00 ITA 12 Lazio 886 Fuori_Regione__Provincia_Autonoma    87 
2020-08-14T17:00:00 ITA 12 Lazio 886 Fuori_Regione__Provincia_Autonoma    89 
2020-08-15T17:00:00 ITA 12 Lazio 886 Fuori_Regione__Provincia_Autonoma    90 
2020-08-16T17:00:00 ITA 12 Lazio 886 Fuori_Regione__Provincia_Autonoma    90 
2020-08-17T17:00:00 ITA 12 Lazio 886 Fuori_Regione__Provincia_Autonoma    92 
2020-08-18T17:00:00 ITA 12 Lazio 886 Fuori_Regione__Provincia_Autonoma    94 
2020-08-19T17:00:00 ITA 12 Lazio 886 Fuori_Regione__Provincia_Autonoma    99 
