data,stato,codice_regione,denominazione_regione,codice_provincia,denominazione_provincia,sigla_provincia,lat,long,totale_casi,note
2020-06-25T17:00:00 ITA 06 Friuli_Venezia_Giulia 885 Fuori_Regione__Provincia_Autonoma    0 
2020-06-26T17:00:00 ITA 06 Friuli_Venezia_Giulia 885 Fuori_Regione__Provincia_Autonoma    0 
2020-06-27T17:00:00 ITA 06 Friuli_Venezia_Giulia 885 Fuori_Regione__Provincia_Autonoma    0 
2020-06-28T17:00:00 ITA 06 Friuli_Venezia_Giulia 885 Fuori_Regione__Provincia_Autonoma    0 
2020-06-29T17:00:00 ITA 06 Friuli_Venezia_Giulia 885 Fuori_Regione__Provincia_Autonoma    0 
2020-06-30T17:00:00 ITA 06 Friuli_Venezia_Giulia 885 Fuori_Regione__Provincia_Autonoma    0 
2020-07-01T17:00:00 ITA 06 Friuli_Venezia_Giulia 885 Fuori_Regione__Provincia_Autonoma    0 
2020-07-02T17:00:00 ITA 06 Friuli_Venezia_Giulia 885 Fuori_Regione__Provincia_Autonoma    0 
2020-07-03T17:00:00 ITA 06 Friuli_Venezia_Giulia 885 Fuori_Regione__Provincia_Autonoma    0 
2020-07-04T17:00:00 ITA 06 Friuli_Venezia_Giulia 885 Fuori_Regione__Provincia_Autonoma    0 
2020-07-05T17:00:00 ITA 06 Friuli_Venezia_Giulia 885 Fuori_Regione__Provincia_Autonoma    0 
2020-07-06T17:00:00 ITA 06 Friuli_Venezia_Giulia 885 Fuori_Regione__Provincia_Autonoma    0 
2020-07-07T17:00:00 ITA 06 Friuli_Venezia_Giulia 885 Fuori_Regione__Provincia_Autonoma    0 
2020-07-08T17:00:00 ITA 06 Friuli_Venezia_Giulia 885 Fuori_Regione__Provincia_Autonoma    0 
2020-07-09T17:00:00 ITA 06 Friuli_Venezia_Giulia 885 Fuori_Regione__Provincia_Autonoma    0 
2020-07-10T17:00:00 ITA 06 Friuli_Venezia_Giulia 885 Fuori_Regione__Provincia_Autonoma    0 
2020-07-11T17:00:00 ITA 06 Friuli_Venezia_Giulia 885 Fuori_Regione__Provincia_Autonoma    0 
2020-07-12T17:00:00 ITA 06 Friuli_Venezia_Giulia 885 Fuori_Regione__Provincia_Autonoma    0 
2020-07-13T17:00:00 ITA 06 Friuli_Venezia_Giulia 885 Fuori_Regione__Provincia_Autonoma    0 
2020-07-14T17:00:00 ITA 06 Friuli_Venezia_Giulia 885 Fuori_Regione__Provincia_Autonoma    0 
2020-07-15T17:00:00 ITA 06 Friuli_Venezia_Giulia 885 Fuori_Regione__Provincia_Autonoma    0 
2020-07-16T17:00:00 ITA 06 Friuli_Venezia_Giulia 885 Fuori_Regione__Provincia_Autonoma    0 
2020-07-17T17:00:00 ITA 06 Friuli_Venezia_Giulia 885 Fuori_Regione__Provincia_Autonoma    0 
