data,stato,codice_regione,denominazione_regione,codice_provincia,denominazione_provincia,sigla_provincia,lat,long,totale_casi,note
2020-04-22T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    5 
2020-04-23T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    17 
2020-04-24T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    5 
2020-04-25T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    8 
2020-04-26T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    12 
2020-04-27T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    6 
2020-04-28T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    6 
2020-04-29T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    6 
2020-04-30T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    6 
2020-05-01T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    6 
2020-05-02T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    8 
2020-05-03T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    8 
2020-05-04T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    8 
2020-05-05T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    7 
2020-05-06T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    8 
2020-05-07T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    8 
2020-05-08T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    8 
2020-05-09T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    10 
2020-05-10T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    7 
2020-05-11T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    4 
2020-05-12T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    4 
2020-05-13T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    4 
2020-05-14T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    4 
2020-05-15T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    4 
2020-05-16T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    4 
2020-05-17T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    4 
2020-05-18T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    4 
2020-05-19T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    4 
2020-05-20T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    4 
2020-05-21T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    4 
2020-05-22T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    2 
2020-05-23T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    2 
2020-05-24T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    2 
2020-05-25T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    2 
2020-05-26T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    2 
2020-05-27T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    2 
2020-05-28T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    2 
2020-05-29T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    3 
2020-05-30T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    3 
2020-05-31T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    3 
2020-06-01T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    3 
2020-06-02T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    4 
2020-06-03T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    2 
2020-06-04T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    2 
2020-06-05T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    2 
2020-06-06T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    2 
2020-06-07T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    2 
2020-06-08T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    2 
2020-06-09T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    2 
2020-06-10T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    2 
2020-06-11T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    2 
2020-06-12T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    2 
2020-06-13T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    2 
2020-06-14T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    2 
2020-06-15T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    2 
2020-06-16T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    2 
2020-06-17T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    2 
2020-06-18T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    2 
2020-06-19T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    2 
2020-06-20T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    1 
2020-06-21T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    1 
2020-06-22T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    1 
2020-06-23T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    0 
2020-06-24T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    522 
2020-06-25T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    317 
2020-06-26T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    272 
2020-06-27T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    271 
2020-06-28T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    271 
2020-06-29T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    271 
2020-06-30T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    259 
2020-07-01T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    259 
