data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi,totale_positivi_test_molecolare,totale_positivi_test_antigenico_rapido,tamponi_test_molecolare,tamponi_test_antigenico_rapido,codice_nuts_1,codice_nuts_2
2020-07-04T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,3,0,3,23,26,1,1,1060,97,1159,24,1183,98936,96902,,,,,,,,,,
2020-07-05T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,3,0,3,23,26,0,0,1060,97,1159,24,1183,99467,97433,,,,,,,,,,
2020-07-06T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,4,0,4,22,26,0,0,1060,97,1159,24,1183,99705,97671,,,,,,,,,,
2020-07-07T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,4,0,4,23,27,1,1,1060,97,1159,25,1184,100737,98703,,,,,,,,,,
2020-07-08T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,4,0,4,24,28,1,1,1060,97,1159,26,1185,101642,99608,,,,,,,,,,
2020-07-09T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,4,0,4,24,28,0,0,1060,97,1159,26,1185,102585,100551,,,,,,,,,,
2020-07-10T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,4,0,4,23,27,-1,1,1062,97,1159,27,1186,103582,101548,,,,,,,,,,
2020-07-11T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,4,0,4,25,29,2,2,1062,97,1159,29,1188,104475,102441,,,,,,,,,,
2020-07-12T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,4,0,4,53,57,28,28,1062,97,1159,57,1216,105034,103000,"Dallo screening condotto su 70 migranti sbarcati ieri a Roccella Ionica sono stati intercettati 26 soggetti positivi dal  laboratorio dell'ASP di Reggio Calabria;  in strutture dedicate,  appositamente individuate dalla Prefettura.",,,,,,,,,
2020-07-13T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,4,0,4,53,57,0,0,1062,97,1159,57,1216,105315,103281,,,,,,,,,,
2020-07-14T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,5,0,5,52,57,0,0,1062,97,1159,57,1216,106176,104142,,,,,,,,,,
2020-07-15T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,5,0,5,54,59,2,2,1062,97,1159,59,1218,106955,104921,"Dei  54 soggetti positivi  in isolamento domiciliare 13 sono stati trasferiti  a Roma, in apposita struttura ( Ospedale Celio) ",,,,,,,,,
2020-07-16T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,5,0,5,60,65,6,8,1064,97,1159,67,1226,107852,105818,,,,,,,,,,
2020-07-17T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,6,0,6,63,69,4,5,1065,97,1159,72,1231,108711,106677,"Dei cinque positivi di oggi tre casi sono riconducibili allo sbarco di Roccella Jonica, mentre gli altri due sono rientri da Stato estero.",,,,,,,,,
2020-07-18T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,5,0,5,70,75,6,7,1066,97,1159,79,1238,109655,107621,,,,,,,,,,
2020-07-19T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,4,0,4,68,72,-3,1,1070,97,1159,80,1239,110485,108451,,,,,,,,,,
2020-07-20T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,3,0,3,68,71,-1,0,1071,97,1159,80,1239,110657,108623,,,,,,,,,,
2020-07-21T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,3,0,3,68,71,0,0,1071,97,1159,80,1239,111600,109566,,,,,,,,,,
2020-07-22T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,3,0,3,72,75,4,4,1071,97,1159,84,1243,112649,110615,,,,,,,,,,
2020-07-23T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,3,0,3,74,77,2,2,1071,97,1159,86,1245,113791,111757,,,,,,,,,,
2020-07-24T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,3,0,3,75,78,1,1,1071,97,1159,87,1246,114770,112736,Il caso positivo di oggi  è riconducibile allo sbarco di Roccella Jonica dell'11/7/2020.,,,,,,,,,
2020-07-25T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,3,0,3,76,79,1,1,1071,97,1159,88,1247,115719,113685,,,,,,,,,,
2020-07-26T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,3,0,3,76,79,0,0,1071,97,1159,88,1247,116590,114556,,,,,,,,,,
2020-07-27T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,3,0,3,75,78,-1,0,1072,97,1159,88,1247,116790,114756,,,,,,,,,,
2020-07-28T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,3,0,3,80,83,5,5,1072,97,1159,93,1252,117706,115672,L'incremento dei contagi è da correlarsi a 5 positivi rilevati tra i migranti sbarcati a  Crotone  il  25 luglio.,,,,,,,,,
2020-07-29T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,3,0,3,83,86,3,3,1072,97,1159,96,1255,118592,116558,,,,,,,,,,
2020-07-30T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,3,1,4,89,93,7,7,1072,97,1159,103,1262,119710,117676,"Dei cinque  casi  rilevati al Laboratorio  dell Asp di Reggio Calabria quattro  sono riconducibili allo sbarco di Roccella Jonica dell'11/7/2020 e uno è provienente da Stato Estero.  Il caso rilevato all'AOU Mater Domini è da screening pre ricovero per IMA , proveniente da altra Regione e ricoverato in UTI per esigenze di monitoraggio della patologia cardiaca.",,,,,,,,,
2020-07-31T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,3,1,4,93,97,4,4,1072,97,1159,107,1266,120668,118634,Dallo screening condotto su 63  migranti sbarcati ieri a Ferruzzano il laboratorio dell'ASP di Reggio Calabria  ha intercettao un  positivo.,,,,,,,,,
2020-08-01T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,4,1,5,92,97,0,3,1075,97,1159,110,1269,121803,119769,Dallo screening condotto su 79  migranti  a Crotone il laboratorio dell'AO di Catanzaro  ha intercettao tre  positivi.,,,,,,,,,
